stat_id,course_id,instructor_id,gpa,enrollment,withdraw,past_classes
Alam (MATH) MATH 1225,MATH 1225,Alam (MATH),2.66,33.0,5.0,2
Albert (BMES) BMES 5174,BMES 5174,Albert (BMES),3.45,7.0,0.5,2
Albert (ME) ME 5174,ME 5174,Albert (ME),3.53,7.0,0.0,1
Albert (NR) NR 5854,NR 5854,Albert (NR),3.93,17.0,0.0,2
Albright (ARCH) ARCH 4515,ARCH 4515,Albright (ARCH),3.0,5.0,0.0,1
Albright (ARCH) ARCH 4516,ARCH 4516,Albright (ARCH),3.76,5.0,0.0,1
Albright (ARCH) ARCH 4524,ARCH 4524,Albright (ARCH),3.68,5.0,0.0,1
Albright (ARCH) ARCH 4974,ARCH 4974,Albright (ARCH),3.44,26.5,0.0,2
Albright (ARCH) ARCH 4994,ARCH 4994,Albright (ARCH),3.37,28.0,0.0,3
Albright (CAUS) CAUS 1984,CAUS 1984,Albright (CAUS),3.82,30.0,0.0,1
Albright (PSYC) PSYC 3014,PSYC 3014,Albright (PSYC),3.67,51.5,0.0,4
Albright (PSYC) PSYC 4994,PSYC 4994,Albright (PSYC),3.88,7.0,0.0,1
Aldrich (HD) HD 5514,HD 5514,Aldrich (HD),3.9,10.0,0.0,1
Aldrich (HD) HD 5744,HD 5744,Aldrich (HD),3.89,18.0,0.0,1
Alegbeleye (LDRS) LDRS 3104,LDRS 3104,Alegbeleye (LDRS),3.59,17.0,0.0,1
Alexander (AOE) AOE 3264,AOE 3264,Alexander (AOE),3.09,23.5,0.0,4
Alexander (AOE) AOE 4205,AOE 4205,Alexander (AOE),3.17,7.92,0.0,12
Alexander (AOE) AOE 4206,AOE 4206,Alexander (AOE),3.52,9.86,0.0,7
Alexander (AOE) AOE 4254,AOE 4254,Alexander (AOE),3.18,6.67,0.0,3
Alexander (AOE) AOE 4624,AOE 4624,Alexander (AOE),2.79,12.5,0.5,4
Alexander (EDEL) EDEL 5024,EDEL 5024,Alexander (EDEL),3.68,12.0,0.0,5
Alexander (EDEL) EDEL 6104,EDEL 6104,Alexander (EDEL),4.0,11.0,0.0,1
Alexander (EDEL) EDEL 6124,EDEL 6124,Alexander (EDEL),3.85,12.29,0.0,7
Alexander (EDEL) EDEL 6134,EDEL 6134,Alexander (EDEL),4.0,12.29,0.0,7
Alexander (EDEL) EDEL 6254,EDEL 6254,Alexander (EDEL),4.0,14.0,0.0,1
Alexander (FIW) FIW 3954,FIW 3954,Alexander (FIW),3.95,13.0,0.0,1
Alexander (HIST) HIST 1024,HIST 1024,Alexander (HIST),3.2,187.0,3.0,1
Alexander (HIST) HIST 1025,HIST 1025,Alexander (HIST),3.03,62.73,2.55,11
Alexander (HIST) HIST 1026,HIST 1026,Alexander (HIST),3.5,69.0,1.0,1
Alexander (HIST) HIST 1215,HIST 1215,Alexander (HIST),3.18,81.0,0.5,2
Alexander (HIST) HIST 3334,HIST 3334,Alexander (HIST),3.01,34.0,1.0,1
Alexander (HIST) HIST 3354,HIST 3354,Alexander (HIST),3.19,13.5,0.0,2
Alexander (HIST) HIST 3424,HIST 3424,Alexander (HIST),2.9,32.0,4.0,1
Alexander (IS) IS 4024,IS 4024,Alexander (IS),3.83,10.5,0.0,2
Alexander (PSCI) PSCI 1014,PSCI 1014,Alexander (PSCI),3.16,36.0,0.0,1
Alexander (PSCI) PSCI 4024,PSCI 4024,Alexander (PSCI),3.5,10.0,0.0,2
Alia (MGT) MGT 2945,MGT 2945,Alia (MGT),3.72,128.5,0.0,2
Alia (MGT) MGT 2946,MGT 2946,Alia (MGT),3.92,161.0,0.0,2
Alia (MGT) MGT 4945,MGT 4945,Alia (MGT),3.99,19.0,0.0,2
Alia (MGT) MGT 4946,MGT 4946,Alia (MGT),3.96,20.0,0.0,2
Aljafari (BIT) BIT 3524,BIT 3524,Aljafari (BIT),3.01,31.5,0.0,2
Aljafari (BIT) BIT 5424,BIT 5424,Aljafari (BIT),3.8,48.0,0.0,1
Allegretta (COMM) COMM 3314,COMM 3314,Allegretta (COMM),2.81,12.0,0.0,1
Allegretta (JMC) JMC 3314,JMC 3314,Allegretta (JMC),3.07,19.0,1.0,1
Allen (BCHM) BCHM 4115,BCHM 4115,Allen (BCHM),2.84,45.5,5.0,2
Allen (BCHM) BCHM 5784,BCHM 5784,Allen (BCHM),3.58,12.0,0.0,1
Allen (BMVS) BMVS 4994,BMVS 4994,Allen (BMVS),3.93,5.0,0.0,3
Allen (BMVS) BMVS 5594,BMVS 5594,Allen (BMVS),4.0,20.2,0.0,5
Allen (BMVS) BMVS 6714,BMVS 6714,Allen (BMVS),3.99,14.0,0.0,2
Allen (CSES) CSES 3304,CSES 3304,Allen (CSES),3.28,6.0,0.0,1
Allen (EDCI) EDCI 1004,EDCI 1004,Allen (EDCI),3.89,27.0,0.0,1
Allen (EDCI) EDCI 3464,EDCI 3464,Allen (EDCI),3.98,27.0,0.0,1
Allen (EDCI) EDCI 5204,EDCI 5204,Allen (EDCI),4.0,16.0,0.0,1
Allen (EDCI) EDCI 5224,EDCI 5224,Allen (EDCI),4.0,14.5,0.0,2
Allen (GEOG) GEOG 3304,GEOG 3304,Allen (GEOG),2.94,11.0,1.0,1
