crn,dept,course_id,instructor_id,title,modality,credits,capacity,days,start_time,end_time,location
18420,MUS,MUS 5314,Irrera (MUS),Instrumental Ensemble Music,F2F,1,15,(ARR),(ARR),(ARR),00X
18421,MUS,MUS 5314,Irrera (MUS),Instrumental Ensemble Music,F2F,1,10,(ARR),(ARR),(ARR),00X
18422,MUS,MUS 5414,Bigler (MUS),Choral Ensemble Music,F2F,1,5,(ARR),(ARR),(ARR),00X
18436,NANO,NANO 1016,Nguyen (NANO),Introduction to Nanoscience,F2F,3,40,T R,9:30AM,10:45AM,NCB 110B
18437,NANO,NANO 2024,Magill (NANO),Quantum Physics Nanostructures,F2F,4,15,M W,5:30PM,6:45PM,NCB 330
21660,NANO,NANO 2814,Staff (NANO),NanoCareers,F2F,1,30,T,11:00AM,12:15PM,PAM 3010
18438,NANO,NANO 3016,Magill (NANO),Nano Synth & Characterization,F2F,4,20,T R,8:00AM,9:15AM,NCB 130A
18439,NANO,NANO 3124,Michel (NANO),Nanoscience and Environment,F2F,3,25,M W F,10:10AM,11:00AM,NCB 330
18440,NANO,NANO 4124,Emori (NANO),Adv Nanomaterials and Devices,F2F,3,20,T R,3:30PM,4:45PM,MCB 202
18441,NANO,NANO 4334,Finkielstein (NANO),Advanced Nanomedicine,F2F,3,18,T R,8:00AM,9:15AM,ROB 116
18442,NANO,NANO 4354,Tian (NANO),Advanced Nanomedicine Lab,F2F,1,18,W,1:25PM,3:55PM,NCB 330
18463,NEUR,NEUR 2025,Phillips (NEUR),Introduction to Neuroscience,F2F,3,175,M W,2:30PM,3:45PM,WHIT 300
18464,NEUR,NEUR 2026,Cline (NEUR),Introduction to Neuroscience,F2F,3,152,M W F,8:00AM,8:50AM,NCB 360
18465,NEUR,NEUR 2035,Fu (NEUR),Neuroscience Laboratory,F2F,1,32,T,10:00AM,12:50PM,NCB 350
18466,NEUR,NEUR 2035,Fu (NEUR),Neuroscience Laboratory,F2F,1,32,R,10:00AM,12:50PM,NCB 350
18467,NEUR,NEUR 2035,Fu (NEUR),Neuroscience Laboratory,F2F,1,32,R,1:10PM,4:00PM,NCB 350
18468,NEUR,NEUR 2036,McDaniel (NEUR),Neuroscience Laboratory,F2F,1,36,M,9:05AM,11:55AM,NCB 370
18469,NEUR,NEUR 2036,McDaniel (NEUR),Neuroscience Laboratory,F2F,1,36,W,9:05AM,11:55AM,NCB 370
18470,NEUR,NEUR 2036,McDaniel (NEUR),Neuroscience Laboratory,F2F,1,36,M,12:50PM,3:40PM,NCB 370
18471,NEUR,NEUR 2036,McDaniel (NEUR),Neuroscience Laboratory,F2F,1,36,W,12:50PM,3:40PM,NCB 370
18472,NEUR,NEUR 2464,Unroe (NEUR),Neuroscience and Society,F2F,3,150,M W,2:30PM,3:45PM,NCB 260
18473,NEUR,NEUR 2594,Simonds (NEUR),Exploring Clinical Neurosci,Hybrid,3,30,M W,2:30PM,3:45PM,SANDY 012
18513,NEUR,NEUR 3034,Phillips (NEUR),Global Perspectives Pre Depart,F2F,2,24,W,9:05AM,11:00AM,SANDY 012
18514,NEUR,NEUR 3044,Ni (NEUR),Cell Molecular Neuroscience,F2F,3,70,T R,9:30AM,10:45AM,DER 3083
20721,NEUR,NEUR 3054,Shah (NEUR),Brain Body Interactions,F2F,3,50,T R,11:00AM,12:15PM,DER 3076
18515,NEUR,NEUR 3084,Unroe (NEUR),Cognitive Neuroscience,F2F,3,108,T R,12:30PM,1:45PM,SURGE 104D
18516,NEUR,NEUR 3144,English (NEUR),Mech Learning & Memory,F2F,3,72,M W,2:30PM,3:45PM,NCB 210
18518,NEUR,NEUR 3554,Rainville (NEUR),Neur Research and Practice,F2F,3,28,F,10:10AM,1:10PM,NCB 370
18520,NEUR,NEUR 3774,Cline (NEUR),Neuroendocrinology,F2F,3,36,T R,2:00PM,3:15PM,SANDY 012
20717,NEUR,NEUR 3844,Vijayan (NEUR),Computational Neur and Eng,F2F,3,25,M,4:00PM,6:30PM,MCB 210
18522,NEUR,NEUR 3914,Shah (NEUR),Neuroscience of Drug Addiction,F2F,3,50,T R,3:30PM,4:45PM,DER 3076
21560,NEUR,NEUR 3984,Macias Herrera (NEUR),SS: Intro Systems Neuroscience,F2F,3,30,T R,11:00AM,12:15PM,SANDY 012
18524,NEUR,NEUR 4034,Rainville (NEUR),Diseases of the Nervous System,F2F,3,72,M W F,9:05AM,9:55AM,NCB 270
18525,NEUR,NEUR 4044,Ni (NEUR),TS: Sensation & Sensory Disord,F2F,3,24,T R,2:00PM,3:15PM,DER 3076
