instructor_id,last_name,dept,gpa,enrollment,withdraw,past_classes,new_classes
Barman (HIST),Barman,HIST,3.83,24.5,0.0,2,0
Barman (SOC),Barman,SOC,3.72,11.5,0.0,2,0
Barman (STS),Barman,STS,3.72,16.0,0.0,1,0
Barnes (ECE),Barnes,ECE,3.18,115.33,2.67,3,0
Barnes (PHYS),Barnes,PHYS,3.37,17.4,0.0,5,0
Barnette (CS),Barnette,CS,2.6,166.54,24.0,13,0
Barney (PPWS),Barney,PPWS,3.46,21.67,0.33,6,0
Barney (PSYC),Barney,PSYC,4.0,5.0,0.0,1,0
Barone (BSE),Barone,BSE,3.68,41.83,0.25,12,1
Barone (ESM),Barone,ESM,4.0,6.0,0.0,1,0
Barrera (ECON),Barrera,ECON,3.53,22.5,1.5,2,2
Barreto (MATH),Barreto,MATH,2.54,29.38,3.22,40,2
Barrett (BIOL),Barrett,BIOL,3.32,62.56,3.89,9,0
Barrett (BMVS),Barrett,BMVS,4.0,5.0,0.0,1,0
Barrett (FREC),Barrett,FREC,3.68,16.8,0.0,5,1
Barros Daza (MINE),Barros Daza,MINE,3.06,35.0,1.0,1,0
Barrow (HIST),Barrow,HIST,3.58,19.0,0.0,8,1
Barry (ME),Barry,ME,2.85,29.4,1.6,5,1
Bartholomew (ISE),Bartholomew,ISE,3.92,35.5,0.0,6,0
Bartlett (ME),Bartlett,ME,3.07,41.5,0.5,4,0
Bartlett (MGT),Bartlett,MGT,3.06,64.0,0.0,1,0
Bartlett (MUS),Bartlett,MUS,4.0,5.0,0.0,1,1
Barton (ENGL),Barton,ENGL,3.63,23.88,0.21,24,0
Bassett (ARCH),Bassett,ARCH,3.62,28.19,0.14,21,0
Basso (DANC),Basso,DANC,4.0,7.0,0.0,1,1
Basso (HNFE),Basso,HNFE,3.97,20.0,0.0,1,1
Batra (ESM),Batra,ESM,3.47,9.5,0.0,4,0
Battista (HIST),Battista,HIST,3.48,12.0,0.0,3,0
Battista (STS),Battista,STS,3.39,8.67,0.33,3,0
Baudoin (AT),Baudoin,AT,2.65,27.0,0.0,3,0
Baudoin (PPWS),Baudoin,PPWS,3.13,25.75,0.75,12,0
Bauer (GER),Bauer,GER,3.0,11.83,0.33,12,4
Baugher (CEE),Baugher,CEE,3.59,39.0,0.0,1,0
Baumann (ECE),Baumann,ECE,2.95,32.35,0.95,20,2
Beal (MGT),Beal,MGT,3.69,14.92,0.0,13,2
Beamish (RED),Beamish,RED,3.06,28.67,0.33,6,0
Bean (ENGL),Bean,ENGL,3.16,18.54,0.42,24,0
Bean (MUS),Bean,MUS,3.98,39.61,0.09,23,2
Bean (PHYS),Bean,PHYS,3.41,94.0,1.0,1,0
Beane (EDCO),Beane,EDCO,3.96,24.0,0.0,2,0
Bear (PHYS),Bear,PHYS,3.59,424.5,1.75,8,0
Beardsley (HTM),Beardsley,HTM,3.41,171.0,5.0,1,0
Beason (FIN),Beason,FIN,3.11,39.4,2.2,5,0
Beattie (CMDA),Beattie,CMDA,2.77,27.83,0.5,6,0
Beattie (CS),Beattie,CS,3.86,5.0,0.0,1,1
Beattie (MATH),Beattie,MATH,3.36,13.75,1.62,8,2
Beatty (ALS),Beatty,ALS,3.81,21.6,0.0,5,0
Beauregard (PAPA),Beauregard,PAPA,4.0,8.0,0.0,1,0
Bechtel (ISC),Bechtel,ISC,3.75,45.0,0.0,1,0
Bechtel (NEUR),Bechtel,NEUR,3.89,173.0,0.0,1,0
Bechtel (UNIV),Bechtel,UNIV,3.92,19.0,0.0,2,0
Beckenhauer (HIST),Beckenhauer,HIST,3.32,31.0,0.5,2,0
Beckenhauer (IS),Beckenhauer,IS,3.72,23.33,0.5,6,1
Beckenhauer (PSCI),Beckenhauer,PSCI,3.57,10.17,0.0,6,1
Beckenhauer (SOC),Beckenhauer,SOC,3.06,10.5,0.0,2,0
Becker (ARCH),Becker,ARCH,3.74,15.72,0.17,18,4
Becker (CLA),Becker,CLA,3.42,14.33,0.67,3,0
Becker (ENGL),Becker,ENGL,3.7,17.55,0.64,33,4
Becker (GR),Becker,GR,3.84,9.65,0.06,17,2
Becker (HIST),Becker,HIST,3.27,126.42,1.0,12,0
Becker (LAT),Becker,LAT,3.85,12.44,0.0,9,1
Becker (MGT),Becker,MGT,3.72,16.25,0.0,28,0
Becker (PSCI),Becker,PSCI,4.0,5.0,0.0,1,0
Becker (UH),Becker,UH,4.0,29.5,0.0,2,0
Becksford (GRAD),Becksford,GRAD,3.95,12.5,0.0,2,0
Bedford (ARCH),Bedford,ARCH,3.49,59.0,0.62,29,0
Bedore (APSC),Bedore,APSC,3.75,24.12,0.0,8,3
Beers (BIOL),Beers,BIOL,3.24,34.6,1.8,5,1
Beers (HD),Beers,HD,3.8,55.75,0.25,4,0
Beers (HORT),Beers,HORT,3.19,21.38,0.75,8,1
Beers (PPWS),Beers,PPWS,3.83,6.5,0.0,2,1
Beers (SPES),Beers,SPES,3.99,10.67,0.0,6,2
Beex (ECE),Beex,ECE,2.35,6.0,0.0,1,0
Behkam (ME),Behkam,ME,2.89,29.89,1.11,9,1
Belanger (ACIS),Belanger,ACIS,3.51,28.78,0.0,18,1
Belcher (ENGL),Belcher,ENGL,3.66,18.5,0.0,2,0
Belcher (REAL),Belcher,REAL,3.64,36.5,0.0,2,0
Belden (BIOL),Belden,BIOL,3.53,60.25,0.75,8,0
Beleny (AAEC),Beleny,AAEC,3.73,10.0,0.0,1,1
Beleny (HTM),Beleny,HTM,3.43,38.0,0.88,8,2
Beleny (MGT),Beleny,MGT,3.15,59.78,0.94,18,4
Beling (ISE),Beling,ISE,3.66,9.0,0.0,1,0
Beliveau (BC),Beliveau,BC,3.13,53.88,0.25,8,0
Beliveau (CNST),Beliveau,CNST,3.58,18.5,0.0,2,0
Bell (AAEC),Bell,AAEC,3.66,36.0,0.0,1,0
Bell (BC),Bell,BC,3.72,33.33,0.0,3,1
Bell (CNST),Bell,CNST,3.92,8.0,0.0,1,0
Bell (PSYC),Bell,PSYC,3.67,35.6,0.5,10,0
Bell (SOC),Bell,SOC,3.73,15.57,0.0,7,0
Belmouloud (FR),Belmouloud,FR,3.64,11.6,0.4,5,0
Ben-Tzvi (ECE),Ben-Tzvi,ECE,2.8,7.25,0.75,4,0
Ben-Tzvi (ME),Ben-Tzvi,ME,3.15,29.27,0.45,11,0
Benami (AAEC),Benami,AAEC,3.11,16.67,1.0,3,0
Benning (ENGE),Benning,ENGE,3.65,66.29,0.35,31,0
Benning (ENGR),Benning,ENGR,3.66,95.75,0.5,4,1
